title,date,text,status,url
"No Roda Viva, Salles distorce fatos sobre queimadas e acusações de Bolsonaro a ONGs","27 de agosto de 2019, 16h41","
",,https://www.aosfatos.org/noticias/no-roda-viva-salles-distorce-fatos-sobre-queimadas-e-acusacoes-de-bolsonaro-ongs/
"No Roda Viva, Salles distorce fatos sobre queimadas e acusações de Bolsonaro a ONGs","27 de agosto de 2019, 16h41","
",,https://www.aosfatos.org/noticias/no-roda-viva-salles-distorce-fatos-sobre-queimadas-e-acusacoes-de-bolsonaro-ongs/
"No Roda Viva, Gilmar Mendes se contradiz sobre defesa da liberdade de imprensa","9 de outubro de 2019, 14h03","
",,https://www.aosfatos.org/noticias/no-roda-viva-gilmar-mendes-se-contradiz-sobre-defesa-da-liberdade-de-imprensa/
"No Roda Viva, Gilmar Mendes se contradiz sobre defesa da liberdade de imprensa","9 de outubro de 2019, 14h03","
",,https://www.aosfatos.org/noticias/no-roda-viva-gilmar-mendes-se-contradiz-sobre-defesa-da-liberdade-de-imprensa/
"No Roda Viva, Gilmar Mendes se contradiz sobre defesa da liberdade de imprensa","9 de outubro de 2019, 14h03","
",,https://www.aosfatos.org/noticias/no-roda-viva-gilmar-mendes-se-contradiz-sobre-defesa-da-liberdade-de-imprensa/
"Contra evidências, Joice diz no Roda Viva que não difundiu notícia falsa nas eleições","23 de outubro de 2019, 11h21","
",,https://www.aosfatos.org/noticias/contra-serie-de-evidencias-joice-diz-no-roda-viva-que-nao-difundiu-noticia-falsa-nas-eleicoes/
"Contra evidências, Joice diz no Roda Viva que não difundiu notícia falsa nas eleições","23 de outubro de 2019, 11h21","
",,https://www.aosfatos.org/noticias/contra-serie-de-evidencias-joice-diz-no-roda-viva-que-nao-difundiu-noticia-falsa-nas-eleicoes/
"Contra evidências, Joice diz no Roda Viva que não difundiu notícia falsa nas eleições","23 de outubro de 2019, 11h21","
",,https://www.aosfatos.org/noticias/contra-serie-de-evidencias-joice-diz-no-roda-viva-que-nao-difundiu-noticia-falsa-nas-eleicoes/
"Contra evidências, Joice diz no Roda Viva que não difundiu notícia falsa nas eleições","23 de outubro de 2019, 11h21","
",,https://www.aosfatos.org/noticias/contra-serie-de-evidencias-joice-diz-no-roda-viva-que-nao-difundiu-noticia-falsa-nas-eleicoes/
"Contra evidências, Joice diz no Roda Viva que não difundiu notícia falsa nas eleições","23 de outubro de 2019, 11h21","
",,https://www.aosfatos.org/noticias/contra-serie-de-evidencias-joice-diz-no-roda-viva-que-nao-difundiu-noticia-falsa-nas-eleicoes/
